iter	Passed	Remaining
412	3891	5531
413	3902	5523
414	3914	5517
415	3922	5506
416	3930	5495
417	3943	5490
418	3951	5479
419	3960	5469
420	3971	5461
421	3980	5452
422	3990	5442
423	3997	5430
424	4005	5419
425	4013	5407
426	4022	5398
427	4030	5386
428	4040	5378
429	4049	5368
430	4057	5356
431	4069	5350
432	4077	5339
433	4087	5330
434	4098	5323
435	4106	5312
436	4115	5301
437	4127	5295
438	4135	5285
439	4145	5276
440	4159	5272
441	4167	5260
442	4174	5248
443	4184	5239
444	4195	5232
445	4205	5224
446	4214	5214
447	4225	5206
448	4234	5196
449	4242	5185
450	4254	5178
451	4262	5168
452	4271	5157
453	4282	5150
454	4290	5138
455	4299	5129
456	4309	5120
457	4318	5110
458	4327	5100
459	4335	5089
460	4344	5079
461	4352	5069
462	4361	5058
463	4369	5047
464	4380	5039
465	4391	5032
466	4399	5021
467	4409	5012
468	4420	5004
469	4429	4994
470	4438	4984
471	4446	4974
472	4453	4961
473	4462	4951
474	4472	4943
475	4484	4936
476	4491	4924
477	4500	4915
478	4507	4903
479	4518	4894
480	4527	4885
481	4536	4875
482	4544	4863
483	4551	4852
484	4559	4841
485	4567	4830
486	4574	4818
487	4583	4808
488	4591	4797
489	4597	4785
490	4607	4776
491	4617	4767
492	4624	4755
493	4633	4745
494	4639	4733
495	4647	4722
496	4653	4710
497	4662	4699
498	4669	4688
499	4679	4679
500	4687	4669
501	4694	4657
502	4703	4646
503	4710	4635
504	4717	4623
505	4726	4614
506	4733	4602
507	4739	4590
508	4747	4579
509	4754	4567
510	4762	4557
511	4771	4548
512	4778	4536
513	4786	4526
514	4795	4516
515	4802	4504
516	4810	4494
517	4818	4483
518	4826	4473
519	4833	4461
520	4840	4450
521	4848	4440
522	4856	4429
523	4863	4418
524	4871	4407
525	4877	4395
526	4885	4384
527	4893	4374
528	4899	4362
529	4906	4350
530	4914	4340
531	4921	4329
532	4930	4320
533	4937	4309
534	4946	4299
535	4953	4288
536	4961	4278
537	4970	4268
538	4976	4256
539	4983	4245
540	4992	4235
541	5000	4225
542	5007	4214
543	5015	4203
544	5024	4194
545	5033	4185
546	5040	4174
547	5047	4163
548	5054	4152
549	5061	4141
550	5067	4129
551	5074	4118
552	5082	4107
553	5087	4096
554	5093	4084
555	5101	4073
556	5107	4062
557	5114	4051
558	5121	4040
559	5128	4029
560	5135	4018
561	5142	4007
562	5149	3997
563	5156	3986
564	5162	3974
565	5169	3963
566	5176	3952
567	5183	3942
568	5189	3931
569	5196	3920
570	5203	3909
571	5210	3899
572	5217	3888
573	5224	3877
574	5231	3866
575	5239	3856
576	5246	3846
577	5253	3835
578	5258	3823
579	5267	3814
580	5274	3803
581	5280	3792
582	5285	3780
583	5292	3770
584	5299	3759
585	5306	3748
586	5312	3737
587	5320	3727
588	5327	3717
589	5334	3707
590	5343	3697
591	5350	3687
592	5358	3677
593	5367	3668
594	5374	3657
595	5380	3646
596	5387	3636
597	5393	3626
598	5400	3615
599	5406	3604
600	5413	3593
601	5419	3582
602	5425	3572
603	5433	3562
604	5440	3552
605	5446	3541
606	5452	3530
607	5460	3520
608	5467	3510
609	5473	3499
610	5478	3488
611	5482	3475
612	5488	3464
613	5495	3454
614	5501	3444
615	5510	3435
616	5516	3424
617	5523	3414
618	5531	3404
619	5538	3394
620	5544	3383
621	5551	3373
622	5557	3363
623	5565	3353
624	5571	3343
625	5579	3333
626	5584	3322
627	5592	3312
628	5597	3301
629	5604	3291
630	5610	3280
631	5616	3270
632	5624	3260
633	5630	3250
634	5636	3239
635	5642	3229
636	5649	3219
637	5655	3208
638	5662	3198
639	5669	3188
640	5675	3178
641	5681	3168
642	5689	3158
643	5695	3148
644	5702	3138
645	5707	3127
646	5715	3118
647	5724	3109
648	5731	3099
649	5738	3090
650	5746	3080
651	5754	3071
652	5762	3061
653	5770	3052
654	5776	3042
655	5786	3034
656	5793	3024
657	5801	3015
658	5808	3005
659	5816	2996
660	5823	2986
661	5830	2976
662	5837	2967
663	5844	2957
664	5851	2947
665	5858	2938
666	5866	2929
667	5875	2919
668	5886	2912
669	5898	2905
670	5906	2895
671	5916	2887
672	5923	2877
673	5930	2868
674	5939	2859
675	5947	2850
676	5956	2841
677	5964	2832
678	5973	2824
679	5983	2815
680	5993	2807
681	6001	2798
682	6017	2792
683	6026	2784
684	6035	2775
685	6042	2765
686	6050	2756
687	6057	2747
688	6065	2737
689	6073	2728
690	6082	2720
691	6091	2711
692	6098	2701
693	6107	2693
694	6115	2683
695	6125	2675
696	6133	2666
697	6141	2657
698	6149	2648
699	6158	2639
700	6165	2629
701	6174	2621
702	6181	2611
703	6190	2602
704	6201	2594
705	6209	2585
706	6219	2577
707	6230	2569
708	6238	2560
709	6247	2551
710	6254	2542
711	6262	2533
712	6272	2524
713	6281	2515
714	6290	2507
715	6298	2498
716	6305	2488
717	6315	2480
718	6324	2471
719	6332	2462
720	6341	2453
721	6348	2444
722	6359	2436
723	6367	2427
724	6377	2419
725	6386	2410
726	6398	2402
727	6410	2395
728	6425	2388
729	6433	2379
730	6447	2372
731	6457	2364
732	6465	2354
733	6476	2347
734	6485	2338
735	6493	2329
736	6500	2319
737	6508	2310
738	6521	2303
739	6528	2293
740	6537	2284
741	6550	2277
742	6558	2268
743	6565	2259
744	6577	2251
745	6587	2242
746	6594	2233
747	6603	2224
748	6611	2215
749	6621	2207
750	6630	2198
751	6652	2193
752	6661	2185
753	6672	2177
754	6682	2168
755	6692	2159
756	6702	2151
757	6717	2144
758	6734	2138
759	6746	2130
760	6756	2121
761	6765	2112
762	6773	2103
763	6782	2094
764	6790	2085
765	6799	2077
766	6808	2068
767	6818	2059
768	6826	2050
769	6834	2041
770	6841	2032
771	6852	2023
772	6861	2015
773	6872	2006
774	6881	1997
775	6889	1988
776	6897	1979
777	6907	1971
778	6917	1962
779	6926	1953
780	6937	1945
781	6946	1936
782	6955	1927
783	6967	1919
784	6977	1911
785	6991	1903
786	7000	1894
787	7008	1885
788	7017	1876
789	7025	1867
790	7035	1858
791	7042	1849
792	7052	1840
793	7063	1832
794	7073	1823
795	7082	1815
796	7092	1806
797	7101	1797
798	7109	1788
799	7118	1779
800	7127	1770
801	7138	1762
802	7146	1753
803	7155	1744
804	7167	1736
805	7178	1727
806	7185	1718
807	7199	1710
808	7211	1702
809	7219	1693
810	7230	1685
811	7245	1677
812	7256	1669
813	7270	1661
814	7281	1652
815	7289	1643
816	7297	1634
817	7305	1625
818	7315	1616
819	7326	1608
820	7335	1599
821	7344	1590
822	7354	1581
823	7362	1572
824	7370	1563
825	7378	1554
826	7387	1545
827	7395	1536
828	7408	1528
829	7416	1518
830	7423	1509
831	7432	1500
832	7440	1491
833	7454	1483
834	7462	1474
835	7472	1465
836	7483	1457
837	7491	1448
838	7498	1438
839	7505	1429
840	7517	1421
841	7526	1412
842	7534	1403
843	7543	1394
844	7552	1385
845	7560	1376
846	7568	1367
847	7577	1358
848	7586	1349
849	7596	1340
850	7604	1331
851	7611	1322
852	7621	1313
853	7630	1304
854	7639	1295
855	7650	1286
856	7659	1278
857	7668	1269
858	7676	1260
859	7684	1251
860	7697	1242
861	7707	1233
862	7715	1224
863	7726	1216
864	7736	1207
865	7745	1198
866	7753	1189
867	7760	1180
868	7769	1171
869	7778	1162
870	7786	1153
871	7798	1144
872	7807	1135
873	7820	1127
874	7829	1118
875	7841	1110
876	7852	1101
877	7859	1092
878	7871	1083
879	7881	1074
880	7890	1065
881	7900	1056
882	7910	1048
883	7920	1039
884	7928	1030
885	7936	1021
886	7947	1012
887	7956	1003
888	7964	994
889	7975	985
890	7986	976
891	7993	967
892	8005	959
893	8012	950
894	8024	941
895	8031	932
896	8040	923
897	8048	914
898	8057	905
899	8064	896
900	8077	887
901	8084	878
902	8092	869
903	8104	860
904	8118	852
905	8126	843
906	8133	833
907	8141	824
908	8149	815
909	8157	806
910	8165	797
911	8173	788
912	8182	779
913	8192	770
914	8200	761
915	8210	752
916	8219	743
917	8228	735
918	8235	725
919	8245	716
920	8255	708
921	8262	699
922	8271	690
923	8280	681
924	8290	672
925	8299	663
926	8307	654
927	8316	645
928	8325	636
929	8336	627
930	8344	618
931	8351	609
932	8358	600
933	8368	591
934	8375	582
935	8383	573
936	8394	564
937	8402	555
938	8410	546
939	8419	537
940	8427	528
941	8434	519
942	8441	510
943	8451	501
944	8459	492
945	8466	483
946	8475	474
947	8484	465
948	8490	456
949	8498	447
950	8507	438
951	8515	429
952	8526	420
953	8536	411
954	8544	402
955	8550	393
956	8558	384
957	8567	375
958	8575	366
959	8583	357
960	8590	348
961	8599	339
962	8609	330
963	8617	321
964	8627	312
965	8633	303
966	8642	294
967	8649	285
968	8656	276
969	8663	267
970	8671	258
971	8678	250
972	8686	241
973	8694	232
974	8703	223
975	8710	214
976	8720	205
977	8727	196
978	8735	187
979	8741	178
980	8749	169
981	8756	160
982	8763	151
983	8771	142
984	8777	133
985	8785	124
986	8792	115
987	8798	106
988	8807	97
989	8814	89
990	8824	80
991	8831	71
992	8839	62
993	8848	53
994	8855	44
995	8863	35
996	8872	26
997	8879	17
998	8886	8
999	8895	0
